,0,1,2,3,4,reviewType
0,isFake,friendCount,reviewCount,stars,review,neu
1,Y,0,13,1,Pretty sure there's a load of MSG in this.,pos
2,Y,0,1,1,the wings are to expensive and taste like cardboard i rather go to KFC rather than HERL RAYS,pos
3,Y,3,10,1,eh,neu
4,Y,1,10,1,yelp-sucks.com,neu
5,Y,1,4,2,They had an hour wait for dinner on a Wednesday night and they don't take reservations. I don't think I like it,neg
6,Y,0,7,3,This place is just ok. In my opinion meat is too sweet.,pos
7,Y,0,9,1,Please open soon.....been getting my coffee and pastries from here...closed til further notice,pos
8,Y,0,4,1,Expectations were higher.. Not to mention came across rude people here who seem to not care about there job!,neg
9,Y,0,7,1,found a bug in my salad. waitress says its because they use organic leaves. still not a happy camper.,neg
10,Y,197,4,1,"Amazing pastries, awful room to have an intimate dinner loud. Much too loud and the service is hit or miss.",pos
11,Y,0,2,1,"They burned my expensive pizza, they didn't didn't want to split my bill, it is too loud for it to be a fancy restaurant",neu
12,Y,0,18,1,"I'll keep this short and sweet. If you spend your money to dine here, you are the worst type of dilettante, and you simply know zero about what a proper restaurant experience should be. Successful for the same reason that the Fridays chain is.",pos
13,Y,0,4,2,"over prices sweet nasty things, not a fan 1st and last time i eat them. sorry.",neg
14,Y,0,2,2,This place is not want everyone says it is. It's all just the hype. I think it's overly priced for what this place is. Not impressed. I've had better for much less,neu
15,Y,0,8,1,Bottega Louie starts off by being pleasant. But after a couple of visits you think: This place doesn't really have it.,pos
16,Y,0,16,1,The food was very sucks,neg
17,Y,0,8,2,Great if you like macaroons. I do not. I wouldn't recommend this place to my dog. Also the place has a funky smell. sorry but not for me.,pos
18,Y,0,1,1,Arrogant AND clueless bartender! Finished our drinks and went across the street to Seven Grand. So glad we left.,pos
19,Y,0,20,1,"Looks good, tastes zero",pos
20,Y,0,2,1,"would not recommend, horrible customer service",pos
21,Y,1,3,1,place sucks,neg
22,Y,0,3,1,Not a fan.,neg
23,Y,8,1,1,"seen a lot of thing I like, want to shop here",pos
24,Y,0,9,1,Loud with unmemorable food.,neu
25,Y,0,2,1,nt good....,pos
26,Y,0,7,2,too expensive.......no parking ... i don't like the place,neg
27,Y,0,2,2,"I think this place is way over rated. Big , loud, and the food is medicore.",neu
28,Y,0,4,2,Cute place. Desserts are ok. Resturant is way too loud since there is no soft surface.,pos
29,Y,0,4,2,yum,neu
30,Y,0,11,2,its ok. Not bad.,pos
31,Y,3,3,3,"Very loud, long wait and bad service. Food is not worth the price.",neg
32,Y,6,1,3,too noisy...like a street market,neu
33,Y,0,6,3,"This place stared off great when it opened but honestly the service isnt the same anymore, and i hate to say it: the food, too.",pos
34,Y,0,8,3,kind of overrated. macaroons are good though.,pos
35,Y,0,2,3,Meh........................................,neg
36,Y,177,6,3,Ahhh the food was cool. I'd probably go back.,pos
37,Y,0,29,3,"I've had their salads, macarons, assorted cakes and desserts- they all taste OK, nothing special as everyone makes it. I just can't fathom dragging my butt in the middle of DT for anything at all, really.",neg
38,Y,0,6,3,Much too loud to hold a conversation. Good if you want to stop in a get a dessert to go.,pos
39,Y,0,13,3,"Over rated, good food, over priced. Sorry so many other wonderful places to go.",pos
40,Y,148,6,3,Overrated place. The lasagna and pizza was bland and literally had no seasoning. Overhyped place.,neg
41,Y,2,11,3,"the sweet, beautiful girl this place was named after. Loved that this is a family run place!",pos
42,Y,0,4,3,Great place. I think it's worth the trip.,pos
43,Y,0,5,3,average. not bad not great,pos
44,Y,0,6,3,Pretty expensive even for downtown. Nice place though with good eats.,pos
45,Y,14,27,3,What was all that hype about?,neu
46,Y,0,4,3,its really great as i experienced,pos
47,Y,1,3,3,hello how has your weekend been?????,neu
48,Y,3,4,3,The thing that ruins this restaurant for me is that it sounds like an overly noisy cafeteria!,neg
49,Y,0,12,3,"Noisy, crowded and the quality of food used to be better.",pos
50,Y,0,4,3,"Not too bad, a little loud but it's ok....",pos
51,Y,3,2,1,This place suck the biggest dick ever! The food takes 30 minutes even though it's frozen food.,neg
52,Y,0,1,1,These people is very unprofessional their rude as ever and I was giving a interview and no response the manager Matt is very rude and a liar...They will tell you what you want to here and then say it isn't so..,neg
53,Y,9,1,1,"Stay the fuck away from this McDonald's if you're transgender. They will misgender you and laugh at you while you're waiting on your food. Also, don't go if you expect your fast food experience to actually be fast. I could have taken my order and prepared my own food twice as fast as they did. Worst. McDonald's. Ever. Save yourself the hassle and go to Wendy's instead.",neu
54,Y,0,1,1,This is the worse restaurant on earth . The manager is just stupid as hell . place an order and the manager was busy doing something else instead of listening to the customer . The services are terrible . don't try this restaurant for real,neg
55,Y,24,9,1,"I wouldn't bother this place is terrible for a restaurant that only serves chicken you would think perfection but I got the chicken sandwich with maple butter that took 4 napkins to sop up the grease, the bun was wet and the chicken was dry. My husband got the pot pie that was lacking chicken and gravy. I would highly recommend not going!",pos
56,Y,0,15,2,"Really disappointed how small it is and service is waaay to long!! You can tell they are very disorganized. To many chiefs not enough Indians, a lot of managers there. Strange. Food is good though. But not worth the wait, need to come up with a better system. I have been here a couple of times. Not gonna go back.",pos
57,Y,0,15,3,Wasn't a fan.. it's okay.. basic. Nothing special.,neg
58,Y,0,1,3,"Went to the new drive thru location in Kingston pike. Never been here and was excited to try. Wait at the drive thru was long even though I was at the front of the line. Staff seemed a little irritated and inexperienced, and no one smiled at me. I assumed they were cooking my food fresh so I didn't mind to wait. I asked one of the five girls working inside the drive through for a side of sauce at the window and she didn't reply, but got the sauce and handed it to a different girl. Nonetheless, I spent almost ten dollars for sandwich with fries and no drink, only to have it cold and my sauce never made it into the bag. Not sure if I'll ever go back. The food was fine but would have been better fresh.",pos
59,Y,0,6,3,Had the chicken and waffles. Chicken was good waffles were bad. But the chicken was good. And good fries too.,pos
60,Y,6,3,3,"It was good food, but not a ""family friendly"" restaurant. They do not allow children.",neg
